Hisse,AI Score,Sinyal,Dip Puanı,Fib Puanı,Dip Durumu,Fib Durumu
KOTON,40.5,BEKLE,30,100,DIP_DEGIL,FIB_ABSOLUTE_BOTTOM
SNPAM,40.5,BEKLE,30,100,DIP_DEGIL,FIB_ABSOLUTE_BOTTOM
GOODY,40.5,BEKLE,30,100,DIP_DEGIL,FIB_ABSOLUTE_BOTTOM
OBAMS,40.5,BEKLE,30,100,DIP_DEGIL,FIB_ABSOLUTE_BOTTOM
ZOREN,40.5,BEKLE,30,100,DIP_DEGIL,FIB_ABSOLUTE_BOTTOM
VAKBN,40.5,BEKLE,30,100,DIP_DEGIL,FIB_ABSOLUTE_BOTTOM
MEYSU,40.5,BEKLE,30,100,DIP_DEGIL,FIB_ABSOLUTE_BOTTOM
ANGEN,40.5,BEKLE,30,100,DIP_DEGIL,FIB_ABSOLUTE_BOTTOM
PRKME,40.5,BEKLE,30,100,DIP_DEGIL,FIB_ABSOLUTE_BOTTOM
KLMSN,40.5,BEKLE,30,100,DIP_DEGIL,FIB_ABSOLUTE_BOTTOM
IHLGM,40.5,BEKLE,30,100,DIP_DEGIL,FIB_ABSOLUTE_BOTTOM
VKFYO,40.5,BEKLE,30,100,DIP_DEGIL,FIB_ABSOLUTE_BOTTOM
HUBVC,40.5,BEKLE,30,100,DIP_DEGIL,FIB_ABSOLUTE_BOTTOM
IHEVA,40.5,BEKLE,30,100,DIP_DEGIL,FIB_ABSOLUTE_BOTTOM
OSTIM,40.5,BEKLE,30,100,DIP_DEGIL,FIB_ABSOLUTE_BOTTOM
YAYLA,40.5,BEKLE,30,100,DIP_DEGIL,FIB_ABSOLUTE_BOTTOM
GLRMK,40.5,BEKLE,30,100,DIP_DEGIL,FIB_ABSOLUTE_BOTTOM
BRKO,40.15,BEKLE,34,75,DIP_DEGIL,FIB_EARLY_REBOUND
AYES,39.75,BEKLE,45,10,DIP_DEGIL,FIB_HIGH_ZONE
MACKO,38.8,BEKLE,28,100,DIP_DEGIL,FIB_ABSOLUTE_BOTTOM
BASGZ,38.45,BEKLE,32,75,DIP_DEGIL,FIB_EARLY_REBOUND
A1YEN,38.45,BEKLE,32,75,DIP_DEGIL,FIB_EARLY_REBOUND
SKTAS,38.45,BEKLE,32,75,DIP_DEGIL,FIB_EARLY_REBOUND
SEGMN,38.45,BEKLE,32,75,DIP_DEGIL,FIB_EARLY_REBOUND
KUTPO,37.95,BEKLE,27,100,DIP_DEGIL,FIB_ABSOLUTE_BOTTOM
KSTUR,37.95,BEKLE,27,100,DIP_DEGIL,FIB_ABSOLUTE_BOTTOM
ALTIN,37.95,BEKLE,27,100,DIP_DEGIL,FIB_ABSOLUTE_BOTTOM
SKYLP,36.75,BEKLE,30,75,DIP_DEGIL,FIB_EARLY_REBOUND
DOAS,36.75,BEKLE,30,75,DIP_DEGIL,FIB_EARLY_REBOUND
PENGD,36.75,BEKLE,30,75,DIP_DEGIL,FIB_EARLY_REBOUND
BORSK,36.75,BEKLE,30,75,DIP_DEGIL,FIB_EARLY_REBOUND
HURGZ,36.75,BEKLE,30,75,DIP_DEGIL,FIB_EARLY_REBOUND
DIRIT,36.75,BEKLE,30,75,DIP_DEGIL,FIB_EARLY_REBOUND
PATEK,36.75,BEKLE,30,75,DIP_DEGIL,FIB_EARLY_REBOUND
UCAYM,36.75,BEKLE,30,75,DIP_DEGIL,FIB_EARLY_REBOUND
BIENY,36.75,BEKLE,30,75,DIP_DEGIL,FIB_EARLY_REBOUND
HKTM,36.25,BEKLE,25,100,DIP_DEGIL,FIB_ABSOLUTE_BOTTOM
IZINV,36.25,BEKLE,25,100,DIP_DEGIL,FIB_ABSOLUTE_BOTTOM
SODSN,36.25,BEKLE,25,100,DIP_DEGIL,FIB_ABSOLUTE_BOTTOM
EUREN,36.25,BEKLE,25,100,DIP_DEGIL,FIB_ABSOLUTE_BOTTOM
