Hisse,Trend,Dip,Volume,Trend100,Dip100,Volume100,AI Score,Sinyal,Trend Durumu,Dip Durumu,Volume Durumu
TUCLK,37,101,50,37.0,50.5,50.0,51.53,BEKLE,EARLY_REBOUND,PERFECT_DIP,NEUTRAL
TRMET,36,101,48,36.0,50.5,48.0,50.83,BEKLE,EARLY_REBOUND,PERFECT_DIP,NEUTRAL
MRGYO,43,94,52,43.0,47.0,52.0,50.45,BEKLE,EARLY_REBOUND,PERFECT_DIP,NEUTRAL
MARTI,40,81,65,40.0,40.5,65.0,49.83,BEKLE,EARLY_REBOUND,STRONG_DIP,EARLY_ACCUMULATION
ASELS,33,105,38,33.0,52.5,38.0,48.82,BEKLE,BOTTOM_SIDEWAYS,PERFECT_DIP,DISTRIBUTION
ANHYT,41,82,60,41.0,41.0,60.0,48.75,BEKLE,EARLY_REBOUND,STRONG_DIP,EARLY_ACCUMULATION
SONME,32,82,62,32.0,41.0,62.0,48.45,BEKLE,BOTTOM_SIDEWAYS,STRONG_DIP,EARLY_ACCUMULATION
GEDZA,50,103,33,50.0,51.5,33.0,48.38,BEKLE,ACCUMULATION_DIP,PERFECT_DIP,DISTRIBUTION
DENGE,29,93,50,29.0,46.5,50.0,48.12,BEKLE,BOTTOM_SIDEWAYS,PERFECT_DIP,NEUTRAL
SILVR,27,89,55,27.0,44.5,55.0,48.12,BEKLE,BOTTOM_SIDEWAYS,PERFECT_DIP,NEUTRAL
LIDFA,35,100,40,35.0,50.0,40.0,48.0,BEKLE,EARLY_REBOUND,PERFECT_DIP,DISTRIBUTION
MERKO,29,94,48,29.0,47.0,48.0,47.85,BEKLE,BOTTOM_SIDEWAYS,PERFECT_DIP,NEUTRAL
GARAN,35,112,23,35.0,56.0,23.0,46.8,BEKLE,EARLY_REBOUND,PERFECT_DIP,HEAVY_DISTRIBUTION
REEDR,39,92,43,39.0,46.0,43.0,46.7,BEKLE,EARLY_REBOUND,PERFECT_DIP,DISTRIBUTION
